구분,기업명,분류,시도
597,케이에스아이㈜,중소기업,경기
598,㈜코엔지,중소기업,서울
599,주식회사 크레디프,중소기업,서울
600,주식회사 클콩,중소기업,경기
601,주식회사 킹텍스,중소기업,충북
602,㈜타라그래픽스,중소기업,서울
603,㈜타이드스퀘어,중소기업,서울
604,㈜태광네트웍정보,중소기업,경기
605,태광정밀,중소기업,경기
606,㈜태림에프웰,중소기업,경기
607,태성전기㈜,중소기업,경북
608,(주)토마스 케이블,중소기업,충북
609,㈜토퍼스엔지니어링,중소기업,서울
610,주식회사 파나시아,중소기업,부산
611,주식회사 포시에스,중소기업,서울
612,㈜프라임솔루션,중소기업,경기
613,주식회사 프로바이오닉,중소기업,전북
614,주식회사 프로토타입,중소기업,서울
615,㈜플랜아이,중소기업,대전
616,주식회사 피레타,중소기업,대전
617,㈜피엘코스메틱,중소기업,인천
618,㈜필라테크,중소기업,서울
619,㈜하몬소프트,중소기업,서울
620,하안유산부인과,중소기업,충북
621,하은테크㈜,중소기업,경남
622,한국자연환경연구소㈜,중소기업,경기
623,㈜한국테크놀로지,중소기업,서울
624,㈜한국프라켐,중소기업,서울
625,농업회사법인(주)한길웰바이오,중소기업,경북
626,주식회사 한나노텍,중소기업,대전
627,주식회사 한맥식품,중소기업,경기
628,주식회사 한백냉장,중소기업,경기
629,㈜한빛코리아,중소기업,경기
630,㈜한스코리아,중소기업,인천
631,㈜한일코리아,중소기업,경기
632,해동기계공업㈜,중소기업,경남
633,헨켈홈케어코리아 유한회사,대기업,서울
634,현대산기㈜,중소기업,경남
635,주식회사 현대에스엔씨,중소기업,경남
636,홍도식품,중소기업,전남
637,㈜화인에프티,중소기업,충남
638,㈜환공식품,중소기업,경남
639,강원도 동해시청,공공기관,강원
640,강원도청,공공기관,강원
641,강화군시설관리공단,공공기관,인천
642,경기도 고양시청,공공기관,경기
643,경기도 광주시청,공공기관,경기
644,경기도 구리시청,공공기관,경기
645,경기도 김포시청,공공기관,경기
646,경기도 부천시청,공공기관,경기
647,경기도 성남시청,공공기관,경기
648,경기도 시흥시청,공공기관,경기
649,경기도 파주시청,공공기관,경기
650,경기도 포천시청,공공기관,경기
651,경기도 화성시청,공공기관,경기
652,경기도 장애인복지종합지원센터,공공기관,경기
653,경기도청,공공기관,경기
654,경상남도청,공공기관,경남
655,경상북도 포항시청,공공기관,경북
656,경상북도개발공사,공공기관,경북
657,군포시시설관리공단,공공기관,경기
658,김포도시공사,공공기관,경기
659,대구광역시 중구청,공공기관,대구
660,대전광역시 대덕구청,공공기관,대전
661,대전광역시 동구청,공공기관,대전
662,부산광역시 강서구청,공공기관,부산
663,부산광역시 금정구청,공공기관,부산
664,부산광역시 기장군청,공공기관,부산
665,부산광역시 남구청,공공기관,부산
666,부산광역시 동구청,공공기관,부산
667,부산광역시 동래구청,공공기관,부산
668,부산광역시 북구청,공공기관,부산
669,부산광역시 사상구청,공공기관,부산
670,부산광역시 사하구청,공공기관,부산
671,부산광역시 서구청,공공기관,부산
672,부산광역시 수영구청,공공기관,부산
673,부산광역시 연제구청,공공기관,부산
674,부산광역시 영도구청,공공기관,부산
675,부산광역시 부산진구청,공공기관,부산
676,부산광역시 해운대구청,공공기관,부산
677,서울특별시 강북구청,공공기관,서울
678,서울특별시강서구시설관리공단,공공기관,서울
679,서울특별시영등포구시설관리공단,공공기관,서울
680,서울특별시용산구시설관리공단,공공기관,서울
681,사단법인 서울특별시자원봉사센터,공공기관,서울
682,성북구도시관리공단,공공기관,서울
683,세종특별자치시청,공공기관,세종
684,수원도시공사,공공기관,경기
685,안산도시공사,공공기관,경기
686,양주시시설관리공단,공공기관,경기
687,연천군시설관리공단,공공기관,경기
688,영화진흥위원회,공공기관,부산
689,재단법인 오산문화재단,공공기관,경기
690,울산시설공단,공공기관,울산
691,인천광역시 계양구청,공공기관,인천
692,인천광역시 남구청,공공기관,인천
693,인천광역시부평구시설관리공단,공공기관,인천
694,인천광역시 서구청,공공기관,인천
695,인천광역시 연수구청,공공기관,인천
696,인천광역시 옹진군청,공공기관,인천
697,인천광역시 중구청,공공기관,인천
698,인천광역시청,공공기관,인천
699,전라남도 고흥군청,공공기관,전남
700,전라남도 구례군청,공공기관,전남
701,전라남도 목포시청,공공기관,전남
702,전라남도 보성군청,공공기관,전남
703,전라남도 영암군청,공공기관,전남
704,전라남도 장흥군청,공공기관,전남
705,전라남도 함평군청,공공기관,전남
706,전라남도 해남군청,공공기관,전남
707,전라남도청,공공기관,전남
708,전라북도 군산시청,공공기관,전북
709,전라북도 김제시청,공공기관,전북
710,전라북도 순창군청,공공기관,전북
711,전라남도 순천시청,공공기관,전남
712,전라북도청,공공기관,전북
713,전자부품연구원,공공기관,경기
714,전주시시설관리공단,공공기관,전북
715,제주특별자치도 서귀포시청,공공기관,제주
716,제주특별자치도 제주시청,공공기관,제주
717,중소기업은행,공공기관,서울
718,창원대학교,공공기관,경남
719,축산물품질평가원,공공기관,세종
720,충청남도 보령시청,공공기관,충남
721,충청북도청,공공기관,충북
722,충청북도 괴산군청,공공기관,충북
723,충청북도 단양군청,공공기관,충북
724,충청북도 보은군청,공공기관,충북
725,충청북도 영동군청,공공기관,충북
726,충청북도 음성군청,공공기관,충북
727,충청북도 제천시청,공공기관,충북
728,충청북도 증평군청,공공기관,충북
729,충청북도 진천군청,공공기관,충북
730,충청북도 청주시청,공공기관,충북
731,충청북도 충주시청,공공기관,충북
732,충청지방통계청,공공기관,대전
733,코레일관광개발㈜,공공기관,서울
734,파주시시설관리공단,공공기관,경기
735,(재)한국건강가정진흥원,공공기관,서울
736,한국건강증진개발원,공공기관,서울
737,한국과학기술정보연구원,공공기관,대전
738,한국국제협력단,공공기관,경기
739,한국에너지기술평가원,공공기관,서울
740,한국자산관리공사,공공기관,부산
741,한국전기안전공사,공공기관,전북
742,한국전기연구원,공공기관,경남
743,한국체육산업개발㈜,공공기관,서울
744,한국콘텐츠진흥원,공공기관,전남
745,한국해양수산연수원,공공기관,부산
746,한국화학연구원부설안전성평가연구소,공공기관,대전
747,㈜KBS N,대기업,서울
748,SK에너지㈜,대기업,서울
749,SK종합화학㈜,대기업,서울
750,SK트레이딩 인터내셔널㈜,대기업,서울
751,(학)건국대학교건국유업·건국햄,대기업,충북
752,동서식품㈜,대기업,인천
753,동희오토 주식회사,대기업,충남
754,㈜두산 글로넷바이오텍사업부,대기업,경기
755,롯데건설㈜,대기업,서울
756,롯데알미늄㈜,대기업,서울
757,롯데칠성음료㈜,대기업,서울
758,롯데하이마트㈜,대기업,서울
759,우리홈쇼핑,대기업,서울
760,㈜부산롯데호텔,대기업,부산
761,삼성바이오로직스 주식회사,대기업,인천
762,삼성카드고객서비스 주식회사,대기업,서울
763,㈜삼양사,대기업,서울
764,㈜삼양홀딩스,대기업,서울
765,서비스에이스 주식회사,대기업,서울
766,서울여자대학교,대기업,서울
767,서울우유협동조합,대기업,서울
768,에릭슨엘지 엔터프라이즈(주),대기업,경기
769,㈜에스비아이저축은행,대기업,서울
770,㈜엘아이지시스템,대기업,서울
771,㈜지엔텔,대기업,서울
772,주식회사 케이티앤지,대기업,대전
773,크레텍책임㈜,대기업,대구
774,㈜포스코아이씨티,대기업,경북
775,(주)하이텔레서비스,대기업,서울
776,㈜효성,대기업,서울
777,(재)FITI시험연구원,공공기관,서울
778,㈜SRC,중소기업,인천
779,㈜가가이엔지,중소기업,부산
780,가보테크㈜,중소기업,전북
781,주식회사 건국,중소기업,대전
782,경기화약㈜,중소기업,경기
783,경인이엔지㈜,중소기업,부산
784,경흥건업㈜,중소기업,충남
785,고려냉장식품㈜,중소기업,경남
786,주식회사 고려이노테크,중소기업,경남
787,골드레벤(Goldleben),중소기업,충북
788,㈜그린,중소기업,인천
789,㈜그린광학,중소기업,충북
790,㈜금진,중소기업,충북
791,(유)기흥모터스,중소기업,서울
792,㈜네오그라프,중소기업,서울
793,주식회사 네오팜,중소기업,대전
794,넥서스환경디자인연구원㈜,중소기업,경기
795,농심켈로그㈜,대기업,경기
796,㈜느티나무의사랑,중소기업,부산
797,다양조경개발㈜,중소기업,서울
798,㈜다원시스,중소기업,경기
799,대자인병원,중소기업,전북
800,㈜대주엔시스,중소기업,대전
801,㈜대학내일,중소기업,서울
802,㈜이우드,중소기업,충북
803,㈜데이터클립,중소기업,서울
804,㈜동화,중소기업,충북
805,두드림협동조합,중소기업,충북
806,㈜디엠텍,중소기업,대전
807,주식회사 레드아이스,중소기업,경기
808,로쏘㈜성심당,중소기업,대전
809,㈜리눅스데이타시스템,중소기업,서울
810,㈜리서치앤리서치,중소기업,서울
811,(주)마이텍,중소기업,부산
812,농업회사법인 주식회사 명도식품,중소기업,경기
813,㈜명진뉴텍,중소기업,인천
814,미성식품㈜,중소기업,강원
815,㈜미즈,중소기업,대전
816,㈜백광정밀,중소기업,경기
817,주식회사 베네핏,중소기업,서울
818,베인앤드컴퍼니코리아인크한국지점,대기업,서울
819,주식회사 부광스틸,중소기업,경남
820,㈜뷰티화장품,중소기업,충북
821,브레인즈스퀘어㈜,중소기업,서울
822,㈜비더블류씨,중소기업,부산
823,주식회사 비앤코리아,중소기업,인천
824,주식회사 비엠에스코리아,중소기업,부산
825,㈜비전바이오켐,중소기업,경기
826,주식회사 빅맨,중소기업,서울
827,㈜사람과기술,중소기업,서울
828,㈜사이버다임,중소기업,서울
829,농업회사법인 주식회사 산들본가,중소기업,충남
830,(주)산호에스엔피,중소기업,경남
831,㈜삼성금속,중소기업,경북
832,㈜삼성인더스트리,중소기업,부산
833,삼성포장,중소기업,충남
834,삼원금속공업㈜,중소기업,경기
835,삼진식품(주),중소기업,전남
836,삼해인더스트리㈜,중소기업,대구
837,주식회사 삼환티에프,중소기업,서울
838,상일식품㈜,중소기업,서울
839,주식회사 서한에프앤씨,중소기업,충북
840,선보공업㈜,중소기업,부산
841,㈜선우테크앤켐,중소기업,충북
842,(주)성원안전산업,중소기업,충북
843,㈜성진금속,중소기업,경기
844,주식회사 세경글로텍,중소기업,충북
845,세계로병원,중소기업,광주
846,주식회사 세오,중소기업,경기
847,주식회사 세윤씨앤에스,중소기업,서울
848,신송식품㈜,중소기업,서울
849,㈜신우폴리켐,중소기업,대구
850,신한EMC㈜,중소기업,경남
851,주식회사 신화엔지니어링,중소기업,경기
852,㈜싸리비,중소기업,충북
853,㈜씨알푸드,중소기업,충북
854,주식회사 씨에스테크,중소기업,충남
855,재단법인 아름다운가게,중소기업,서울
856,㈜아이앤에스,중소기업,충북
857,주식회사 아이티씨,중소기업,부산
858,주식회사 아이티위너,중소기업,서울
859,㈜아이플라이,중소기업,경기
860,㈜아즈텍WB,중소기업,부산
861,아쿠아셀㈜,중소기업,부산
862,㈜알에쓰씨(R. S. C),중소기업,대전
863,주식회사 에스비메탈,중소기업,충북
864,(주)에스엔,중소기업,대전
865,에스포항병원,중소기업,경북
866,에이엠피엠㈜,중소기업,서울
867,㈜에이원텍,중소기업,충북
868,에이제이스틸 주식회사,중소기업,경기
869,㈜에이텍시스템,중소기업,경기
870,주식회사 엔에프,중소기업,충남
871,㈜엔코스,중소기업,경기
872,㈜엘케이하이테크,중소기업,경기
873,㈜엠이테크,중소기업,경남
874,㈜엠피코,중소기업,경북
875,㈜여행박사,중소기업,서울
876,영진앵글 주식회사,중소기업,경기
877,주식회사 예스컴,중소기업,대전
878,데이타솔루션,중소기업,서울
879,㈜올콘텐츠,중소기업,경기
880,와이비엔지니어링㈜,중소기업,부산
881,주식회사 와이앤피,중소기업,대전
882,의료법인 우리아이들의료재단 우리아이들병원,공공기관,서울
883,㈜우리집식품,중소기업,경기
884,㈜우진기전,중소기업,충북
885,원명에스티에스㈜,중소기업,경기
886,원스탑 주식회사,중소기업,경남
887,㈜위드팜,대기업,서울
888,㈜위성안테나전자,중소기업,부산
889,주식회사 윈미디텍,중소기업,서울
890,㈜윈탑,중소기업,충남
891,㈜이브이레이저,중소기업,경기
892,㈜유미테크,중소기업,대전
893,유성씨엔에프㈜,중소기업,강원
894,㈜유유엔,중소기업,세종
895,㈜유유제약,중소기업,충북
896,유진하이테크㈜,중소기업,경남
897,㈜이엔씨기술,중소기업,서울
898,주식회사 이엠시스텍,중소기업,부산
899,㈜이지티,중소기업,대전
900,㈜이크레더블,대기업,서울
901,농업회사법인 유한회사 일품김치,중소기업,경기
902,주식회사 인사이드정보,중소기업,서울
903,㈜인코칭,중소기업,서울
904,㈜임진강김치,중소기업,경기
905,㈜자유투어,중소기업,경기
906,㈜정우식품,중소기업,경남
907,제너럴바이오㈜,중소기업,전북
908,제노,중소기업,부산
909,신영정밀㈜,중소기업,충북
910,제일휴먼스,중소기업,서울
911,(주)제천교통,중소기업,충북
912,㈜줌테크,중소기업,충북
913,지구환경㈜,중소기업,전남
914,지아이오토메이션㈜,중소기업,대전
915,(주)지엘켐,중소기업,대전
916,주식회사 지엠홀딩스,중소기업,서울
917,㈜창일,중소기업,대구
918,㈜카운텍,중소기업,경기
919,켄코아 에어로스페이스㈜,중소기업,경남
920,코델리커피,중소기업,경기
921,주식회사 코드원,중소기업,경남
922,코리아에프티㈜,대기업,경기
923,주식회사 코아아이티,중소기업,충북
924,주식회사 코텍,중소기업,경남
925,주식회사 크린,중소기업,강원
926,㈜태성산업,중소기업,경기
927,태양농산㈜,중소기업,충북
928,주식회사 태희조경개발,중소기업,전남
929,탱크테크㈜,중소기업,부산
930,주식회사 테크프러스,중소기업,서울
931,㈜트래블러스맵,중소기업,서울
932,주식회사 팜클,중소기업,경기
933,주식회사 펜타브리드,중소기업,서울
934,포샤르치과병원,중소기업,서울
935,주식회사 포유네트웍스,중소기업,서울
936,풍원화학(주),중소기업,경기
937,㈜피오디커뮤니케이션즈,중소기업,서울
938,㈜피유시스,중소기업,경기
939,필즈엔지니어링㈜,중소기업,서울
940,㈜하나주방종합가구,중소기업,충북
941,농업회사법인 하늘땅 주식회사,중소기업,충남
942,㈜하우,중소기업,대전
943,㈜하우앳,중소기업,충북
944,㈜하이텍산업개발,중소기업,전남
945,㈜하이푸드텍,중소기업,충남
946,㈜한국로슈,대기업,서울
947,㈜한국리서치,중소기업,서울
948,(유)한국비엠에스제약,대기업,서울
949,한국씨앤오테크㈜,중소기업,경북
950,한라IMS㈜,중소기업,부산
951,㈜한맥푸드,중소기업,경기
952,농업회사법인 한살림축산식품 유한회사,중소기업,충북
953,㈜한텍테크놀로지,중소기업,울산
954,해전산업㈜,중소기업,전북
955,㈜해피블라썸,중소기업,서울
956,주식회사 향미원,중소기업,전북
957,㈜헤럴드,중소기업,서울
958,㈜헤즈,중소기업,서울
959,홍덕보안시스템,중소기업,충남
960,㈜휴넷,중소기업,서울
961,주식회사 휴온스,대기업,경기
962,사회복지법인 가정복지회,공공기관,대구
963,강원도 강릉시청,공공기관,강원
964,강원도 영월군청,공공기관,강원
965,강원도 원주시청,공공기관,강원
966,강원도 인제군청,공공기관,강원
967,강원도 정선군청,공공기관,강원
968,강원도 평창군청,공공기관,강원
969,강원도 횡성군청,공공기관,강원
970,게임물관리위원회,공공기관,부산
971,경기도 동두천시청,공공기관,경기
972,경기도 양주시청,공공기관,경기
973,경기도 양평군청,공공기관,경기
974,경기도 여주시청,공공기관,경기
975,경기도 연천군청,공공기관,경기
976,경기도 오산시청,공공기관,경기
977,경기도 용인시청,공공기관,경기
978,경기도 이천시청,공공기관,경기
979,경기도 평택시청,공공기관,경기
980,재단법인 경기복지재단,공공기관,경기
981,경상남도 거제시청,공공기관,경남
982,경상남도 거창군청,공공기관,경남
983,경상남도 고성군청,공공기관,경남
984,경상남도 남해군청,공공기관,경남
985,경상남도 사천시청,공공기관,경남
986,경상남도 산청군청,공공기관,경남
987,경상남도 의령군청,공공기관,경남
988,경상남도 창녕군청,공공기관,경남
989,경상남도 하동군청,공공기관,경남
990,경상남도 함안군청,공공기관,경남
991,경상북도 영주시청,공공기관,경북
992,재단법인 광주광역시 광주문화재단,공공기관,광주
993,광주신용보증재단,공공기관,광주
994,국가보안기술연구소,공공기관,대전
995,국립중앙의료원,공공기관,서울
996,국민건강보험공단 일산병원,공공기관,서울
997,국방기술품질원,공공기관,경남
998,노사발전재단,공공기관,서울
999,농업기술실용화재단,공공기관,경기
1000,재단법인 대구경북디자인센터,공공기관,대구
1001,대구광역시 동구청,공공기관,대구
1002,대구광역시 서구청,공공기관,대구
1003,대전광역시시설관리공단,공공기관,대전
1004,동대문시설관리공단,공공기관,서울
1005,재단법인 부산광역시국제교류재단,공공기관,부산
1006,(재)부산발전연구원,공공기관,부산
1007,재단법인 부산복지개발원,공공기관,부산
1008,부산신용보증재단,공공기관,부산
1009,재단법인 부산영어방송재단,공공기관,부산
1010,재단법인 부산정보산업진흥원,공공기관,부산
1011,재단법인 부산테크노파크,공공기관,부산
1012,서울특별시 강서구청,공공기관,서울
1013,서울특별시 서초구청,공공기관,서울
1014,서울특별시 은평구청,공공기관,서울
1015,성남도시개발공사,공공기관,경기
1016,성남시청소년재단,공공기관,경기
1017,(재)영화의전당,공공기관,부산
1018,재단법인 용인문화재단,공공기관,경기
1019,울산항만공사,공공기관,울산
1020,의왕도시공사,공공기관,경기
1021,인천광역시 강화군청,공공기관,인천
1022,인천광역시계양구시설관리공단,공공기관,인천
1023,인천광역시 남동구청,공공기관,인천
1024,인천광역시 동구청,공공기관,인천
1025,인천시설공단,공공기관,인천
1026,전라남도 강진군청,공공기관,전남
1027,전라남도 곡성군청,공공기관,전남
1028,전라남도 광양시청,공공기관,전남
1029,전라남도 여수시청,공공기관,전남
1030,전라남도 장성군청,공공기관,전남
1031,전라남도 진도군청,공공기관,전남
1032,전라북도 전주시청,공공기관,전북
1033,중랑구시설관리공단,공공기관,서울
1034,사단법인 창업진흥원,공공기관,대전
1035,천안시시설관리공단,공공기관,충남
1036,충북개발공사,공공기관,충북
1037,충청남도 금산군청,공공기관,충남
1038,충청남도평생교육진흥원,공공기관,충남
1039,충청남도 홍성군청,공공기관,충남
1040,충청북도 옥천군청,공공기관,충북
1041,한국가스공사,공공기관,대구
1042,한국건설기술연구원,공공기관,경기
1043,한국기상산업진흥원,공공기관,서울
1044,한국기초과학지원연구원,공공기관,대전
1045,재단법인 한국만화영상진흥원,공공기관,경기
1046,(재)한국보육진흥원,공공기관,서울
1047,한국산업기술평가관리원,공공기관,대구
1048,한국산업단지공단,공공기관,대구
1049,한국산업안전보건공단,공공기관,울산
1050,한국생산기술연구원,공공기관,충남
1051,한국소비자원,공공기관,충북
1052,한국에너지기술연구원,공공기관,대전
1053,한국임업진흥원,공공기관,서울
1054,한국장애인고용공단,공공기관,경기
1055,한국철도시설공단,공공기관,대전
1056,한전케이디엔㈜,공공기관,전남
1057,행정안전부,공공기관,서울
1058,화성도시공사,공공기관,경기
1059,㈜경남은행,대기업,경남
1060,공우이엔씨㈜,대기업,서울
1061,주식회사 그린바이로,대기업,경북
1062,㈜대홍기획,대기업,서울
1063,동부씨앤에스자동차손해사정㈜,대기업,서울
1064,동아제약㈜,대기업,서울
1065,동화약품㈜,대기업,서울
1066,㈜롯데닷컴,대기업,서울
1067,롯데렌탈㈜,대기업,경기
1068,롯데멤버스 주식회사,대기업,서울
1069,롯데물산㈜,대기업,서울
1070,롯데손해보험주식회사,대기업,서울
1071,롯데쇼핑㈜롯데슈퍼,대기업,서울
1072,롯데엠알시 주식회사,대기업,충남
1073,롯데자산개발㈜,대기업,서울
1074,롯데캐피탈㈜,대기업,서울
1075,메리츠자산운용 주식회사,대기업,서울
1076,벽산엔지니어링㈜,대기업,경기
1077,㈜비상교육,대기업,서울
1078,주식회사 에스피씨삼립식품,대기업,경기
1079,서비스탑 주식회사,대기업,대전
1080,스카이칠십이㈜,대기업,인천
1081,㈜신세계사이먼,대기업,서울
1082,씨제이건설㈜,대기업,경기
1083,씨제이올리브네트웍스 주식회사,대기업,경기
1084,㈜아워홈,대기업,서울
1085,주식회사 아주저축은행,대기업,충북
1086,주식회사 에듀챌린지,대기업,서울
1087,㈜에뛰드,대기업,서울
1088,에어프로덕츠코리아,대기업,경기
1089,엔에이치엔엔터테인먼트 주식회사,대기업,경기
1090,㈜엠아이텍,대기업,경기
1091,㈜오뚜기,대기업,경기
1092,윌로펌프㈜,대기업,부산
1093,주식회사 유베이스,대기업,서울
1094,이데일리㈜,대기업,서울
1095,㈜이랜드서비스,대기업,서울
1096,㈜이비카드,대기업,서울
1097,자트코코리아엔지니어링㈜,대기업,서울
1098,청호나이스㈜,대기업,충북
1099,캐논코리아 비즈니스 솔루션㈜,대기업,서울
1100,티센크루프엘리베이터코리아㈜,대기업,서울
1101,㈜포스코켐텍,대기업,경북
1102,㈜피치밸리,대기업,서울
1103,㈜한국투자저축은행,대기업,경기
1104,한국후지필름㈜,대기업,서울
1105,주식회사 한솔케미칼,대기업,서울
1106,한전산업개발㈜,대기업,서울
1107,해성디에스 주식회사,대기업,경남
1108,㈜현대그린푸드,대기업,경기
1109,(주)현대백화점,대기업,서울
1110,(주)현대에이치씨엔,대기업,서울
1111,현대홈쇼핑,대기업,서울
1112,㈜AG,중소기업,충북
1113,HISOFA (하이소파),중소기업,부산
1114,MOD TECH (모드텍),중소기업,경남
1115,SH도어텍주식회사,중소기업,충북
1116,㈜가업에프씨,중소기업,서울
1117,㈜거노코퍼레이션,중소기업,서울
1118,거림환경주식회사,중소기업,부산
1119,건웅전자,중소기업,경북
1120,경성문화사,중소기업,서울
1121,주식회사경영문화연구원안김,중소기업,충북
1122,고려종합기술 주식회사,중소기업,전남
1123,㈜고려철강,중소기업,경남
1124,㈜골프존,중소기업,대전
1125,광정보통신,중소기업,대전
1126,㈜광진산업,중소기업,충남
1127,㈜광천,중소기업,전북
1128,주식회사광천원김,중소기업,충남
1129,㈜그리핀컨설팅,중소기업,서울
1130,㈜글로벌창조 ,중소기업,대구
1131,㈜금호글로벌,중소기업,인천
1132,길산파이프㈜,중소기업,충남
1133,㈜꿈꾸는콩,중소기업,충북
1134,㈜나노하이테크,중소기업,대전
1135,㈜네프코,중소기업,경기
1136,㈜녹색섬유,중소기업,서울
1137,눔코리아 주식회사,중소기업,서울
1138,뉴21커뮤니티주식회사,중소기업,전남
1139,㈜늘푸른,중소기업,경기
1140,㈜다원산업,중소기업,경기
1141,㈜다원아이씨티,중소기업,대전
1142,㈜대경엔지니어링,중소기업,제주
1143,대광전력 주식회사,중소기업,전남
1144,주식회사 대동테크,중소기업,울산
1145,㈜대명이십일,중소기업,서울
1146,㈜대산티에스티,중소기업,충북
1147,대신네트웍스㈜,중소기업,인천
1148,대신네트웍스주식회사,중소기업,전북
1149,대정소방 주식회사,중소기업,전남
1150,㈜더베러푸드,중소기업,경기
1151,주식회사 더엔진,중소기업,서울
1152,더웰피부과의원,중소기업,대전
1153,㈜더존자기,중소기업,전남
1154,주식회사 더좋은,중소기업,경기
1155,㈜도림,중소기업,충북
1156,주식회사동성아이티이,중소기업,부산
1157,㈜동신기공,중소기업,경남
1158,(유)동아미디어정보,중소기업,전남
1159,㈜동양벤드,중소기업,경기
1160,㈜동우엔지니어링,중소기업,충남
1161,주식회사 동은,중소기업,충남
1162,동탄기업주식회사,중소기업,경기
1163,주식회사 두잇아이씨티,중소기업,대전
1164,㈜듀플렉스,중소기업,경기
1165,㈜드림,중소기업,세종
1166,주식회사 드림티엔에스,중소기업,대전
1167,㈜디앤에이치아이,중소기업,충북
1168,㈜디에스티인터내셔날,중소기업,서울
1169,㈜디에이치에이치아이,중소기업,경남
1170,주식회사 디온컴즈,중소기업,대전
1171,㈜디제이테크,중소기업,세종
1172,로보웨이 주식회사,중소기업,대전
1173,㈜로코엔터테인먼트,중소기업,서울
1174,마린윌,중소기업,경기
1175,마이크로맥스 영농조합법인,중소기업,전남
